Director General;Douglas;Jose;Garcia;Lopez;Masculino;Comercial;JJosegar@gmail.com;25/5/1980;1/2/2010;79001930
Director de Cuentas;Oswaldo;Ernesto;Cabezas;Ortega;Masculino;Comercial;oecabezas@gmail.com;15/2/1970;1/3/2011;79840078
Gerente de Venta;Teodoro;Ivan;Banegas;Andrade;Masculino;Comercial;tibaneandrade@gmail.com;29/10/1985;31/5/2013;71239132
Gerente de Productos;Marlon;Roberto;Franco;Romero;Masculino;Comercial;mrfromero@gmail.com;2/1/1982;1/2/2014;67100181
Coordinador de Area;Mario;Francisco;Navarro;Cruz;Masculino;Operaciones;mariofnc@gmail.com;23/11/1974;14/9/2016;60229215
Coordinador de Area;Jenny;Soraya;Luna;Medina;Femenino;Operaciones;jennluna@gmail.com;24/2/1988;14/11/2016;71910081
Coordinador de Area;Ana;Silvia;Guzman;Garcia;Femenino;Operaciones;asgguzman@gmail.com;19/7/1985;1/12/2017;62918200
Supervisor de Servicio;Hugo;Fabricio;Mena;Villalta;Masculino;Operaciones;fabriciomv@gmail.com;20/5/1986;1/12/2017;78291013
Supervisor de Servicio;Jaime;Eduardo;Canizales;Escalante;Masculino;Operaciones;jecescalante@gmail.com;12/6/1972;14/1/2015;60912090
Supervisor de Servicio;Monica;Karina;Navarro;Arevalo;Femenino;Operaciones;monicakn@gmail.com;3/12/1979;14/9/2016;69292190
Supervisor de Servicio;Diana;Belen;Reyes;Ramirez;Femenino;Operaciones;dianarr@gmail.com;4/7/1982;1/12/2017;79191292
Supervisor de Servicio;Ivan;Francisco;Nieto;Aguilar;Masculino;Operaciones;ivfranna@gmail.com;7/1/1983;14/9/2016;76767718
Teleoperador;Carmen;Veronica;Torres;Orellana;Femenino;Operaciones;cvtorres@gmail.com;17/4/1991;1/11/2019;61919911
Teleoperador;Cesar;Gabriel;Pineda;Mejia;Masculino;Operaciones;cgabrielp@gmail.com;1/3/1995;1/11/2019;77710999
Teleoperador;William;Aaron;Diaz;Doradea;Masculino;Operaciones;waddiaz@gmail.com;11/3/1995;31/3/2020;77272233
Teleoperador;Andrea;Maritza;Castillo;Ortiz;Femenino;Operaciones;amcortiz@gmail.com;2/11/1999;31/3/2020;69007544
Teleoperador;Pablo;Andres;Diaz;Zepeda;Masculino;Operaciones;pablandresdz@gmail.com;23/6/2000;1/6/2021;67676767
Teleoperador;Juan;Carlos;Rodriguez;Penate;Masculino;Operaciones;penatejc@gmail.com;10/7/2001;1/6/2021;79000000
Teleoperador;Luis;Alberto;Guillen;Varela;Masculino;Operaciones;albertovar@gmail.com;3/10/1999;1/1/2020;71140232
Teleoperador;Jose;Estuardo;Flores;Serrano;Masculino;Operaciones;estuardofse@gmail.com;23/3/2002;1/1/2020;65004433
Teleoperador;Ana;Maria;Medina;Cruz;Femenino;Operaciones;anmamedina@gmail.com;25/12/1998;1/1/2020;61009588
Teleoperador;Ruth;Consuelo;Flores;Benitez;Femenino;Operaciones;ruthcfb@gmail.com;25/2/2002;14/3/2022;77086701
Teleoperador;Hector;Diego;Nolasco;Reyes;Masculino;Operaciones;hectdinr@gmail.com;5/7/1995;14/3/2022;77990322
Teleoperador;Rita;Priscila;Prado;Sanchez;Femenino;Operaciones;riprispra@gmail.com;30/11/2003;14/3/2022;62119547
Teleoperador;Jaime;Raul;Segovia;Bonilla;Masculino;Operaciones;jarasebonilla@gmail.com;1/2/2003;30/5/2023;78876144
Coordinador de Area;Douglas;Isaac;Barrera;Magania;Masculino;Operaciones;dougb@gmail.com;17/07/2003;01/02/2019;75859478
Director de Cuentas;Josue;Natanael;Cano;Peraza;Masculino;Comercial;nataCano@gmail.com;18/05/2000;15/05/2021;78957848
Director General;Ana;Isabel;Torres;Matias;Femenino;Comercial;anaias@gmail.com;25/01/1982;01/02/2000;78957848
